name	code	date	place	bloat1	bloat2	bloat3	group	bloat5	bloat6	bloat7	teacher	disabled
Numerikus m˜dszerek Gy	IP-18cNM1G	Cs˜t˜rt˜k 12:00-14:00	D˜li T˜mb 1-820 Haj˜s Gy˜rgy terem	2,3,4,5,6,7,8,9,10,11,12,13,14,15		gyakorlat	1	30	0	2	Kov˜cs P˜ter	true
Numerikus m˜dszerek Gy	IP-18cNM1G	Cs˜t˜rt˜k 10:00-12:00	D˜li T˜mb 1-820 Haj˜s Gy˜rgy terem	2,3,4,5,6,7,8,9,10,11,12,13,14,15		gyakorlat	2	30	0	2	Kov˜cs P˜ter	true
Numerikus m˜dszerek Gy	IP-18cNM1G	Szerda 8:00-10:00	D˜li T˜mb 1-817 (Interakt˜v t˜bla)	2,3,4,5,6,7,8,9,10,11,12,13,14,15		gyakorlat	3	30	0	2	D˜zsa Tam˜s G˜bor	true
Numerikus m˜dszerek Gy	IP-18cNM1G	Szerda 10:00-12:00	D˜li T˜mb 1-817 (Interakt˜v t˜bla)	2,3,4,5,6,7,8,9,10,11,12,13,14,15		gyakorlat	4	30	0	2	D˜zsa Tam˜s G˜bor	false
Numerikus m˜dszerek Gy	IP-18cNM1G	P˜ntek 10:00-12:00	D˜li T˜mb 0-220 K˜rteszi Ferenc terem (Interakt˜v t˜bla)	2,3,4,5,6,7,8,9,10,11,12,13,14,15		gyakorlat	5	30	0	2	Hiba Antal Dr.	false
Numerikus m˜dszerek Gy	IP-18cNM1G	P˜ntek 12:00-14:00	D˜li T˜mb 0-220 K˜rteszi Ferenc terem (Interakt˜v t˜bla)	2,3,4,5,6,7,8,9,10,11,12,13,14,15		gyakorlat	6	30	0	2	Hiba Antal Dr.	false
Numerikus m˜dszerek Gy	IP-18cNM1G	H˜tfo 10:00-12:00	D˜li T˜mb 1-817 (Interakt˜v t˜bla)	2,3,4,5,6,7,8,9,10,11,12,13,14,15		gyakorlat	7	30	0	2	Bogn˜r Gerg˜	false
Numerikus m˜dszerek Gy	IP-18cNM1G	H˜tfo 12:00-14:00	D˜li T˜mb 1-820 Haj˜s Gy˜rgy terem	2,3,4,5,6,7,8,9,10,11,12,13,14,15		gyakorlat	8	30	0	2	Bogn˜r Gerg˜	false
Szoftvertechnol˜gia Ea+GY (F)	IP-18cSZTEG	H˜tfo 12:00-14:00	D˜li T˜mb 00-412 (PC 6)	2,3,4,5,6,7,8,9,10,11,12,13,14,15		gyakorlat	1	15	2	2	Szendrei Rudolf	true
Szoftvertechnol˜gia Ea+GY (F)	IP-18cSZTEG	Cs˜t˜rt˜k 12:00-14:00	D˜li T˜mb 2-520 (Mesters˜ges Intelligencia labor)	2,3,4,5,6,7,8,9,10,11,12,13,14,15		gyakorlat	10	15	2	2	Bakay ˜rp˜d	false
Szoftvertechnol˜gia Ea+GY (F)	IP-18cSZTEG	P˜ntek 10:00-12:00	D˜li T˜mb 2-108 (PC5)	2,3,4,5,6,7,8,9,10,11,12,13,14,15		gyakorlat	11	15	2	2		false
Szoftvertechnol˜gia Ea+GY (F)	IP-18cSZTEG	P˜ntek 12:00-14:00	D˜li T˜mb 2-108 (PC5)	2,3,4,5,6,7,8,9,10,11,12,13,14,15		gyakorlat	12	15	2	2		false
Szoftvertechnol˜gia Ea+GY (F)	IP-18cSZTEG	P˜ntek 14:00-16:00	D˜li T˜mb 00-411 (PC 7)	2,3,4,5,6,7,8,9,10,11,12,13,14,15		gyakorlat	13	15	2	2		false
Szoftvertechnol˜gia Ea+GY (F)	IP-18cSZTEG	Cs˜t˜rt˜k 14:00-16:00	D˜li T˜mb 00-410 (PC 1)	2,3,4,5,6,7,8,9,10,11,12,13,14,15		gyakorlat	14	15	2	2		false
Szoftvertechnol˜gia Ea+GY (F)	IP-18cSZTEG	H˜tfo 10:00-12:00	D˜li T˜mb 00-503 (PC8)	2,3,4,5,6,7,8,9,10,11,12,13,14,15		gyakorlat	2	15	2	2	Szendrei Rudolf	true
Szoftvertechnol˜gia Ea+GY (F)	IP-18cSZTEG	Cs˜t˜rt˜k 12:00-14:00	D˜li T˜mb 2-218 (komp. alg.)	2,3,4,5,6,7,8,9,10,11,12,13,14,15		gyakorlat	3	15	2	2	Szendrei Rudolf	true
Szoftvertechnol˜gia Ea+GY (F)	IP-18cSZTEG	H˜tfo 14:00-16:00	D˜li T˜mb 2-520 (Mesters˜ges Intelligencia labor)	2,3,4,5,6,7,8,9,10,11,12,13,14,15		gyakorlat	4	15	2	2	Szendrei Rudolf	false
