name;code;date;place;bloat1;bloat2;bloat3;group;bloat5;bloat6;bloat7;teacher;disabled
Numerikus módszerek Gy;IP-18cNM1G;Csütörtök 12:00-14:00;Déli Tömb 1-820 Hajós György terem;2,3,4,5,6,7,8,9,10,11,12,13,14,15;;gyakorlat;1;30;0;2;Kovács Péter;true
Numerikus módszerek Gy;IP-18cNM1G;Csütörtök 10:00-12:00;Déli Tömb 1-820 Hajós György terem;2,3,4,5,6,7,8,9,10,11,12,13,14,15;;gyakorlat;2;30;0;2;Kovács Péter;true
Numerikus módszerek Gy;IP-18cNM1G;Szerda 8:00-10:00;Déli Tömb 1-817 (Interaktív tábla);2,3,4,5,6,7,8,9,10,11,12,13,14,15;;gyakorlat;3;30;0;2;Dózsa Tamás Gábor;true
Numerikus módszerek Gy;IP-18cNM1G;Szerda 10:00-12:00;Déli Tömb 1-817 (Interaktív tábla);2,3,4,5,6,7,8,9,10,11,12,13,14,15;;gyakorlat;4;30;0;2;Dózsa Tamás Gábor;false
Numerikus módszerek Gy;IP-18cNM1G;Péntek 10:00-12:00;Déli Tömb 0-220 Kárteszi Ferenc terem (Interaktív tábla);2,3,4,5,6,7,8,9,10,11,12,13,14,15;;gyakorlat;5;30;0;2;Hiba Antal Dr.;false
Numerikus módszerek Gy;IP-18cNM1G;Péntek 12:00-14:00;Déli Tömb 0-220 Kárteszi Ferenc terem (Interaktív tábla);2,3,4,5,6,7,8,9,10,11,12,13,14,15;;gyakorlat;6;30;0;2;Hiba Antal Dr.;false
Numerikus módszerek Gy;IP-18cNM1G;Hétfo 10:00-12:00;Déli Tömb 1-817 (Interaktív tábla);2,3,4,5,6,7,8,9,10,11,12,13,14,15;;gyakorlat;7;30;0;2;Bognár Gergõ;false
Numerikus módszerek Gy;IP-18cNM1G;Hétfo 12:00-14:00;Déli Tömb 1-820 Hajós György terem;2,3,4,5,6,7,8,9,10,11,12,13,14,15;;gyakorlat;8;30;0;2;Bognár Gergõ;false
Szoftvertechnológia Ea+GY (F);IP-18cSZTEG;Hétfo 12:00-14:00;Déli Tömb 00-412 (PC 6);2,3,4,5,6,7,8,9,10,11,12,13,14,15;;gyakorlat;1;15;2;2;Szendrei Rudolf;true
Szoftvertechnológia Ea+GY (F);IP-18cSZTEG;Csütörtök 12:00-14:00;Déli Tömb 2-520 (Mesterséges Intelligencia labor);2,3,4,5,6,7,8,9,10,11,12,13,14,15;;gyakorlat;10;15;2;2;Bakay Árpád;false
Szoftvertechnológia Ea+GY (F);IP-18cSZTEG;Péntek 10:00-12:00;Déli Tömb 2-108 (PC5);2,3,4,5,6,7,8,9,10,11,12,13,14,15;;gyakorlat;11;15;2;2;;false
Szoftvertechnológia Ea+GY (F);IP-18cSZTEG;Péntek 12:00-14:00;Déli Tömb 2-108 (PC5);2,3,4,5,6,7,8,9,10,11,12,13,14,15;;gyakorlat;12;15;2;2;;false
Szoftvertechnológia Ea+GY (F);IP-18cSZTEG;Péntek 14:00-16:00;Déli Tömb 00-411 (PC 7);2,3,4,5,6,7,8,9,10,11,12,13,14,15;;gyakorlat;13;15;2;2;;false
Szoftvertechnológia Ea+GY (F);IP-18cSZTEG;Csütörtök 14:00-16:00;Déli Tömb 00-410 (PC 1);2,3,4,5,6,7,8,9,10,11,12,13,14,15;;gyakorlat;14;15;2;2;;false
Szoftvertechnológia Ea+GY (F);IP-18cSZTEG;Hétfo 10:00-12:00;Déli Tömb 00-503 (PC8);2,3,4,5,6,7,8,9,10,11,12,13,14,15;;gyakorlat;2;15;2;2;Szendrei Rudolf;true
Szoftvertechnológia Ea+GY (F);IP-18cSZTEG;Csütörtök 12:00-14:00;Déli Tömb 2-218 (komp. alg.);2,3,4,5,6,7,8,9,10,11,12,13,14,15;;gyakorlat;3;15;2;2;Szendrei Rudolf;true
